column_name,mapping_name
TypeOfPatient,type_of_patient
Stage,stage
RegistrationDate,registration_date
SelectedHierarchyId,facility_id
FirstName,first_name
LastName,last_name
FathersName,fathers_name
Age,age
Gender,gender
PrimaryPhone,primary_phone
SecondaryPhone1,secondary_phone1
SecondaryPhone2,secondary_phone2
SecondaryPhone3,secondary_phone3
Address,address
Ward,ward
Taluka,taluka
Landmark,landmark
ResidenceHierarchyId,residence_hierarchy_id
Pincode,pincode
Area,area
MaritalStatus,marital_status
Occupation,occupation
SocioeconomicStatus,socioeconomic_status
KeyPopulation,key_population
HIVStatus,hiv_status
ContactPersonPhone,contact_person_phone
ContactPersonName,contact_person_name
ContactPersonAddress,contact_person_address
parentEpisodeId,parent_episode_id
IsPossibleDuplicate,is_possible_duplicate
